Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,3,120.0622,40.02073,69.9632,79.43076,99.50358
3,6,420.0318,70.0053,129.9632,96.21664,122.3176
4,9,917.9905,101.9989,189.9632,109.2291,138.8158
5,13,1630.002,125.3848,249.9632,115.2847,152.1158
6,16,2530.099,158.1312,309.963,125.0233,163.4252
7,19,3611.01,190.0532,368.963,133.2207,173.1982
8,23,4922.973,214.0423,428.9629,137.2912,182.1191
9,26,6344.835,244.0321,485.9629,143.6509,189.8527
10,29,8042.872,277.3404,545.9628,150.4727,197.3651
11,33,9954.823,301.6613,605.9627,153.6798,204.3452
12,35,11979,342.2572,665.9626,161.2151,210.8786
13,38,14217.04,374.1327,725.9625,166.1051,217.0303
14,42,16668.95,396.8798,785.9626,168.2313,222.8518
15,44,18570.9,422.066,845.9625,171.9943,228.3843
16,45,20806.79,462.373,905.9626,177.5582,233.6607
17,48,23000.81,479.1836,965.9621,178.4291,238.7091
18,50,25582.84,511.6568,1025.962,182.5813,243.5525
19,50,26379.65,527.5931,1084.963,184.2935,248.1344
20,53,28927.64,545.8046,1143.962,185.3006,252.5532
21,54,31146.78,576.7922,1203.963,189.0086,256.8936
22,54,32092.83,594.3116,1263.962,190.9485,261.0919
23,58,35504.71,612.1501,1323.962,192.0581,265.1595
24,59,37981.7,643.7576,1382.962,196.5347,269.0409
25,59,41306.65,700.1127,1442.962,203.9584,272.877
26,59,44846.64,760.1126,1502.961,211.8302,276.6081
27,59,45844.6,777.0271,1562.962,212.7748,280.2411
28,59,49384.6,837.0272,1622.962,219.8943,283.7823
29,59,52924.59,897.0269,1682.962,226.2626,287.2371
30,57,53115.81,931.8564,1741.962,227.2783,290.5551
31,59,56645.77,960.0978,1801.961,228.9116,293.8534
32,58,59416.78,1024.427,1861.961,235.5253,297.0791
33,59,62954.7,1067.029,1921.961,238.7157,300.2363
34,59,66491.65,1126.977,2356.015,242.6326,321.4573
35,58,67487.79,1163.583,2545.991,242.7543,329.9873
36,59,70684.65,1198.045,2605.991,244.6369,332.5597
37,58,71453.68,1231.96,2665.992,246.9209,335.0929
38,59,75003.73,1271.25,2725.993,250.1484,337.5881
39,59,78543.73,1331.25,2785.992,255.6267,340.0473
40,59,82083.74,1391.25,2845.993,260.6228,342.4716
41,59,81995.71,1389.758,3462.961,255.4837,364.7941
42,59,83150.64,1409.333,3522.958,255.9148,366.8891
43,59,86690.65,1469.333,3582.958,261.8657,368.9605
44,58,87460.42,1507.938,3641.956,262.1101,370.9748
45,59,89562.31,1518.005,3701.956,261.3435,373.0013
46,57,91556.46,1606.254,3761.955,269.5571,375.0057
47,58,92770.32,1599.488,3820.955,263.9205,376.9562
48,58,92646.15,1597.347,3880.957,262.6794,378.9192
49,59,96190.06,1630.34,3940.956,265.8495,380.8622
50,59,99664.17,1689.223,6501.907,268.1446,450.0366
51,59,94546.15,1602.477,4100.09,261.5665,385.2326
52,56,95986.04,1714.036,4160.089,269.8495,387.4793
53,59,97278.07,1648.781,4220.089,261.3177,389.3487
54,59,100818.1,1708.781,4280.09,267.8591,391.2003
55,58,104060.1,1794.14,4340.09,275.2291,393.0346
56,56,104334.1,1863.108,7197.079,278.8818,464.7057
57,54,104890.1,1942.409,10114.03,282.2423,520.5161
58,54,108130.1,2002.409,10174.04,286.5663,521.5424
59,52,110894,2132.577,10234.03,294.9021,522.5663
60,52,114014,2192.577,10294.04,298.6804,523.5858
61,52,117134,2252.577,10354.04,302.3106,524.6002
62,52,120254,2312.577,10414.04,305.8112,525.6126
63,49,119636,2441.55,10474.04,311.0205,526.6201
64,49,122576,2501.55,10534.04,314.2867,527.6232
65,49,125516,2561.551,10594.04,317.4599,528.6234
66,48,128431,2675.645,11800.95,322.2954,547.9804
67,48,131311,2735.645,11860.95,325.2777,548.9077
68,47,132164,2811.999,11920.95,328.6816,549.8313
69,46,133622,2904.827,11979.96,332.9272,550.7364
70,45,136363,3030.29,12039.96,337.8369,551.6547
71,44,135029.1,3068.843,12099.96,339.5131,552.5702
72,44,137669.1,3128.844,12159.96,342.1537,553.4821
73,43,140290.1,3262.561,12219.96,347.5773,554.3904
74,41,135564.1,3306.442,12279.96,349.1815,555.2955
75,41,137983.2,3365.443,12338.96,351.6165,556.184
76,41,140443.1,3425.442,12398.96,354.0511,557.0851
77,39,141160.2,3619.493,12458.97,361.1602,557.9825
78,39,143500.2,3679.493,12518.96,363.4567,558.8765
79,39,145840.2,3739.492,12578.96,365.7185,559.7672
80,39,148141.2,3798.493,12637.96,367.9104,560.6403
81,38,148233.3,3900.876,12697.96,371.5173,561.5268
82,37,150489.3,4067.278,12757.96,375.9841,562.4106
83,37,152709.3,4127.278,12817.97,378.0941,563.2912
84,37,154929.3,4187.278,12877.97,380.1766,564.1686
85,37,157149.3,4247.279,12937.97,382.2325,565.0428
86,36,157359.3,4371.091,12997.97,386.49,565.9139
87,36,159519.3,4431.091,13057.96,388.4677,566.7833
88,35,161633.2,4618.092,16421.87,392.4987,611.7867
