Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,700.0681,175.017,309.971,128.3283,163.384
3,7,2379.97,339.9958,609.9708,161.598,204.7413
4,10,5049.805,504.9805,909.9708,185.0639,233.9439
5,14,8749.699,624.9785,1209.971,195.0586,257.2533
6,17,13429.66,789.98,1509.971,212.406,276.9654
7,20,19099.66,954.9831,1809.971,227.1644,294.2118
8,22,23199.73,1054.533,2109.971,230.9923,309.6432
9,25,30154.54,1206.182,2404.971,242.8762,323.4491
10,26,35539.59,1366.907,2709.969,253.7151,336.582
11,29,43929.63,1514.815,4469.939,258.1351,396.819
12,31,50969.69,1644.184,4769.94,266.4512,405.5052
13,33,59499.97,1803.029,5064.938,275.7326,413.6982
14,35,68224.91,1949.283,7409.992,278.1779,470.6619
15,36,75474.74,2096.521,9264.856,283.8201,505.9468
16,38,85759.87,2256.839,9564.854,292.8308,511.3496
17,41,96204.88,2346.46,9864.86,294.9667,516.6407
18,42,108124.9,2574.402,10149.86,310.2094,521.5684
19,42,120724.9,2874.401,10449.86,326.9297,526.6568
20,39,131614.9,3374.74,10749.86,346.8965,531.6486
21,35,139649.9,3989.996,11049.85,370.4377,536.5483
22,34,150019.9,4412.349,11349.86,383.1352,541.3602
23,34,160219.8,4712.348,11649.86,393.2556,546.088
24,33,170389.9,5163.33,11949.87,405.9088,550.7358
25,33,180289.9,5463.33,12249.87,414.8428,555.3073
26,32,190089.9,5940.308,12549.86,427.0782,559.8045
27,32,199689.9,6240.309,12849.86,435.1006,564.2305
28,31,209254.8,6750.156,15795.09,445.9437,603.4528
29,31,218554.9,7050.157,16095.09,453.2903,607.2498
30,31,227699.9,7345.157,16390.09,460.2569,610.9376
31,28,227694.8,8131.957,16690.09,476.7923,614.6427
32,28,236094.8,8431.957,16990.09,483.1779,618.3039
33,27,244419.9,9052.588,17290.1,495.6189,621.9222
34,26,252354.9,9705.956,22045.09,505.5187,675.833
35,25,253474.8,10138.99,22345.08,513.5432,678.8846
36,24,238329.7,9930.405,18190.1,512.2662,632.5325
37,23,245284.7,10664.55,25405.15,522.3495,708.9791
38,23,252184.7,10964.55,25705.16,527.6685,711.7587
39,21,244559.6,11645.7,26005.13,537.5783,714.5173
40,21,250859.6,11945.7,26305.14,542.6212,717.2546
41,21,257159.6,12245.7,26605.13,547.5612,719.971
42,21,263459.6,12545.7,26905.14,552.4039,722.6673
43,20,269539.6,13476.98,27864.93,564.7542,733.2142
44,20,275539.7,13776.98,28164.93,569.3168,735.8366
45,19,281354.7,14808.14,40204.97,579.7661,828.5235
46,19,287054.7,15108.14,40504.97,584.136,830.5793
47,19,292754.7,15408.14,40804.98,588.4337,832.625
48,19,298359.7,15703.14,41100,592.5923,834.6268
49,18,294354.8,16353.04,41400.01,601.2326,836.6528
50,17,299659.8,17627.05,41700.01,616.181,838.6689
51,17,304759.8,17927.05,42000.02,620.0419,840.6754
52,17,309859.8,18227.05,42300.01,623.8495,842.6726
53,17,314959.9,18527.05,42600.01,627.6058,844.6599
54,17,320059.9,18827.05,42900.01,631.3127,846.638
55,16,305719.9,19107.49,43200,634.1718,848.6073
56,16,310519.9,19407.49,43500,637.8035,850.5673
57,16,315319.8,19707.49,43800,641.3898,852.518
58,16,320120,20007.5,44100,644.9321,854.46
59,16,324920,20307.5,44400.01,648.4323,856.3931
60,16,329719.9,20607.5,44700,651.891,858.3178
61,16,334519.9,20907.49,44999.99,655.31,860.2336
62,16,339319.9,21207.49,45300,658.6901,862.1412
63,16,344120,21507.5,45600,662.033,864.0403
64,16,348920.1,21807.5,45899.98,665.3395,865.931
65,16,353640,22102.5,46194.99,668.5562,867.7823
66,16,358440.1,22402.5,46494.98,671.7934,869.6567
67,13,306460.1,23573.85,46794.99,682.4465,871.5232
68,12,291725,24310.42,47095,689.2564,873.3818
69,12,295325,24610.42,47395,692.3159,875.2323
70,12,298925.1,24910.42,47694.99,695.3456,877.0751
71,12,302525.1,25210.42,47994.98,698.3467,878.9105
72,12,306125.1,25510.42,48294.98,701.3196,880.7384
73,12,309725,25810.42,48594.96,704.2652,882.558
74,12,313325,26110.41,48894.95,707.1841,884.3701
75,12,316924.9,26410.41,49194.95,710.0771,886.1753
76,12,320525,26710.42,49494.98,712.9446,887.973
77,12,324124.9,27010.41,49794.97,715.7873,889.7639
78,12,327725,27310.42,50094.97,718.6052,891.5459
79,12,331325,27610.42,50394.96,721.4,893.3238
80,12,334925,27910.42,50694.96,724.1713,895.0916
81,12,338525,28210.42,50994.95,726.9199,896.8549
82,12,342065,28505.42,51289.93,729.6008,898.5803
83,12,345665.1,28805.42,51589.89,732.3059,900.3295
84,12,349265.2,29105.43,51889.89,734.9896,902.071
85,12,352865.1,29405.43,52189.91,737.6524,903.8066
86,11,335219.9,30474.54,52489.92,747.0671,905.5347
87,11,338519.9,30774.53,52789.91,749.6443,907.2572
88,11,341819.8,31074.53,53089.88,752.2025,908.9718
89,11,345119.8,31374.53,53389.86,754.7422,910.6818
90,11,348419.8,31674.52,53689.85,757.2637,912.3829
91,11,351719.8,31974.53,53989.84,759.7676,914.0804
92,11,355019.8,32274.53,54289.86,762.2542,915.7698
93,11,358319.8,32574.53,54589.88,764.7234,917.454
94,11,361619.7,32874.52,54889.85,767.1758,919.1314
95,11,364919.7,33174.52,55189.82,769.6119,920.803
