Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,942.057,235.5143,419.9777,141.1116,180.7508
3,7,3236.179,462.3112,832.976,178.5981,227.0994
4,10,6821.166,682.1166,1236.975,204.1201,259.0952
5,14,11777.26,841.2327,1639.974,214.7861,284.633
6,17,17953.13,1056.067,2036.976,233.3378,305.9614
7,20,25300.01,1265.001,2426.978,248.7461,324.358
8,24,34019.16,1417.465,2817.977,255.4972,340.9188
9,27,43861.11,1624.486,3202.979,268.7279,355.7886
10,27,50738.12,1879.19,3583.978,281.7424,369.372
11,31,62249.24,2008.04,3976.973,285.4828,382.4088
12,34,74950.33,2204.421,4366.979,295.9268,394.5224
13,34,86214.41,2535.718,4745.977,312.7671,405.6215
14,37,98275.48,2656.094,5123.973,313.2966,416.117
15,37,112668.5,3045.094,5512.97,335.7417,426.392
16,37,127246.5,3439.094,5906.974,353.5293,436.3175
17,36,139623.4,3878.429,6295.97,370.6379,445.6927
18,36,153843.4,4273.429,6690.972,384.5241,454.8254
19,36,167991.5,4666.429,7083.974,397.2207,463.5619
20,35,179739.5,5135.414,7476.977,411.5013,471.9808
21,35,193564.5,5530.414,7871.972,422.4792,480.1502
22,34,207209.5,6094.396,8264.971,437.074,488.012
23,31,214517.4,6919.916,21040.95,452.5843,665.7526
24,29,226390.4,7806.567,21439.94,468.695,669.9382
25,29,238106.4,8210.566,21843.94,477.5432,674.1211
26,28,248622.4,8879.372,22212.94,489.7267,677.8977
27,28,259962.4,9284.372,22617.94,497.8631,681.9952
28,28,271386.4,9692.372,23025.95,505.77,686.0723
29,27,282686.4,10469.87,25739.96,517.4393,711.5857
30,26,273964.3,10537.09,26135.95,519.7997,715.216
31,26,284468.3,10941.09,26539.98,526.9637,718.8853
32,25,286666.3,11466.65,26940,535.7095,722.4749
33,24,296425.4,12351.06,27345.97,548.5475,726.0846
34,24,306121.3,12755.06,27749.96,554.9955,729.6402
35,24,315865.4,13161.06,28155.95,561.3145,733.1822
36,23,325277.5,14142.5,28559.99,575.7521,736.675
37,22,334290.5,15195.02,28965.99,589.4606,740.1544
38,22,343288.5,15604.02,29375.01,595.102,743.6188
39,22,352330.5,16015.02,29785.99,600.6553,747.0688
40,21,350456.5,16688.41,30189.96,609.5208,750.4304
41,21,359066.6,17098.41,30599.97,614.7863,753.8112
42,21,367697.7,17509.41,31011.02,619.9692,757.1725
43,20,361530.8,18076.54,31420.95,626.6778,760.496
44,20,369770.7,18488.54,31832.95,631.673,763.8058
45,20,378050.6,18902.53,32246.87,636.6075,767.1017
46,19,385933.7,20312.3,32655.87,652.0951,770.3314
47,18,380271.5,21126.2,33069.86,661.3757,773.5727
48,18,387561.5,21531.19,33474.86,665.7786,776.7208
49,18,394401.4,21911.19,33854.85,669.8529,779.6508
50,18,401853.4,22325.19,34268.86,674.2336,782.816
51,18,409305.3,22739.18,34682.86,678.5539,785.9525
52,17,416501.1,24500.06,51552.85,693.1497,896.9681
53,17,423590.2,24917.07,51969.97,697.2985,899.3928
54,16,409654,25603.38,52384.86,703.7623,901.7932
55,15,397279.9,26485.33,52798.84,711.9904,904.1566
56,14,371312.8,26522.34,53180.84,712.2612,906.3372
57,14,377193.2,26942.37,53601.16,716.2176,908.6989
58,14,383100.9,27364.35,54022.84,720.1464,911.0634
59,14,388966.9,27783.35,54441.8,724.0034,913.4091
60,14,394902.9,28207.35,54865.79,727.8637,915.7847
61,14,400768.9,28626.35,55284.79,731.6374,918.1324
62,13,369670.3,28436.18,55701.95,730.1367,920.4338
63,13,375182.3,28860.18,56126.05,733.9241,922.7646
64,12,355285,29607.08,56544.94,740.1225,925.0621
65,12,360372.8,30031.07,56968.77,743.811,927.3481
66,12,365472.9,30456.07,57393.78,747.4709,929.6395
67,11,370272.9,33661.17,57808.73,772.1648,931.8606
68,11,374881.9,34080.18,58227.77,775.524,934.0968
69,11,379479.8,34498.17,58645.76,778.8469,936.3504
70,11,384088.7,34917.15,59064.74,782.1464,938.5886
71,11,388687,35335.18,59482.78,785.4086,940.7981
72,11,393262.6,35751.14,59898.69,788.6268,942.997
73,11,397523.6,36138.5,59999.7,791.6674,943.5309
74,11,401603.7,36509.43,59999.7,794.5731,943.5309
75,11,405663.7,36878.52,59999.7,797.4427,943.5309
76,11,409773.7,37252.16,59999.7,800.3261,943.5309
77,11,413883.7,37625.79,59999.7,803.1852,943.5309
78,11,417993.6,37999.42,59999.7,806.0201,943.5309
79,11,422103.7,38373.06,59999.7,808.8337,943.5309
80,11,426213.8,38746.7,59999.7,811.621,943.5309
