Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,41.35567,10.33892,10.60064,52.52319,52.98051
3,7,74.69194,10.67028,11.20063,53.07232,53.96185
4,10,109.8498,10.98498,11.80063,53.60817,54.9087
5,14,157.1137,11.22241,12.39063,53.96931,55.80895
6,17,195.1884,11.48167,12.92064,54.38282,56.59356
7,20,235.7415,11.78707,13.48062,54.84592,57.39961
8,24,285.3085,11.88785,13.92062,54.99866,58.01744
9,27,327.5766,12.13247,14.40062,55.35684,58.6768
10,29,361.8334,12.47701,14.97062,55.86264,59.44102
11,31,392.0119,12.64555,15.47061,56.08983,60.09556
12,34,436.7647,12.84602,15.93061,56.37764,60.68538
13,36,485.3442,13.48178,24.64924,57.20018,70.15254
14,39,528.9834,13.56368,25.18925,57.30317,70.66122
15,40,552.19,13.80475,25.74925,57.61678,71.18109
16,43,605.5428,14.08239,26.30924,57.99321,71.69348
17,44,633.254,14.39214,26.83924,58.38615,72.17176
18,45,658.6475,14.63661,27.37924,58.70737,72.65264
19,46,687.1129,14.93724,27.91924,59.0957,73.12725
20,50,754.0662,15.08132,28.47925,59.25868,73.613
21,51,766.6229,15.03182,20.77492,59.24269,66.13741
22,52,800.8236,15.40045,21.36492,59.70844,66.75759
23,55,859.368,15.62487,21.95491,59.96152,67.36649
24,58,922.8472,15.91116,22.5449,60.30486,67.96455
25,58,954.4114,16.45537,23.13491,60.99625,68.55228
26,59,996.111,16.88324,23.7249,61.51451,69.13009
27,58,998.8027,17.22074,24.10441,61.93291,69.59005
28,59,1026.661,17.40103,24.6944,62.11679,70.15336
29,59,1057.931,17.93103,25.2244,62.76512,70.65174
30,59,1078.962,18.28749,25.76442,63.17118,71.15246
31,59,1112.592,18.85749,26.33441,63.84457,71.67342
32,59,1143.043,19.37361,26.89439,64.41949,72.18056
33,56,1120.744,20.01328,37.05216,65.05261,80.18185
34,58,1153.224,19.88318,37.48216,64.81361,80.4908
35,59,1182.267,20.03842,37.99216,64.93324,80.85425
36,58,1201.499,20.7155,38.59216,65.67007,81.27776
37,59,1240.666,21.02824,39.19216,65.95849,81.69682
38,59,1274.885,21.60823,39.77216,66.59526,82.09781
39,57,1280.095,22.45781,44.0205,67.38301,85.01552
40,59,1330.547,22.55164,44.5405,67.41466,85.34896
41,59,1362.997,23.10164,45.09052,67.99586,85.69893
42,59,1396.627,23.67164,45.66052,68.58672,86.05859
43,59,1429.077,24.22165,46.21052,69.14635,86.40273
44,59,1414.161,23.96882,46.64052,68.80209,86.66989
45,59,1431,24.25423,47.19054,69.03581,87.00932
46,59,1462.86,24.79424,47.73053,69.58127,87.33997
47,59,1445.543,24.50073,48.24054,69.11378,87.64992
48,59,1480.943,25.10073,48.84053,69.72247,88.01189
49,59,1511.032,25.61072,49.35052,70.23039,88.31717
50,58,1497.884,25.82558,49.93053,70.36972,88.66181
51,58,1543.555,26.61301,50.43051,71.01061,88.95683
52,59,1585.983,26.88106,50.98053,71.22311,89.27901
53,59,1613.713,27.35106,51.45054,71.67444,89.55259
54,59,1624.286,27.53028,51.93056,71.7787,89.83022
55,59,1659.687,28.13028,52.53057,72.34533,90.17488
56,59,1672.442,28.34648,53.00058,72.47032,90.44303
57,59,1701.676,28.84197,53.5306,72.91121,90.74349
58,59,1734.717,29.40198,54.0906,73.4249,91.05887
59,59,1764.217,29.90198,54.59061,73.87654,91.33858
60,59,1799.616,30.50197,55.19062,74.41017,91.67204
61,59,1834.426,31.09196,55.78061,74.92642,91.99755
62,59,1869.826,31.69197,56.38061,75.44321,92.32623
63,59,1898.266,32.174,56.9706,75.78773,92.64721
64,59,1920.096,32.54401,57.57059,76.00896,92.9713
65,59,1932.236,32.74976,58.17058,76.08614,93.29322
66,59,1967.636,33.34976,58.7706,76.59338,93.61288
67,59,1982.126,33.59536,59.37059,76.67406,93.93038
68,59,2013.397,34.12537,59.9006,77.11788,94.20909
69,59,2047.617,34.70537,60.48061,77.5965,94.51216
70,59,2079.477,35.24537,61.02062,78.03577,94.79266
71,59,2111.337,35.78537,61.56064,78.46918,95.07145
72,58,2119.703,36.5466,62.11061,79.06339,95.35377
73,59,2160.833,36.6243,62.64067,79.02364,95.62424
74,57,2131.714,37.39849,63.17068,79.54598,95.89317
75,59,2182.551,36.99238,63.70066,79.0294,96.16063
76,59,2171.281,36.80138,64.25066,78.81391,96.43659
77,59,2193.143,37.17191,64.82069,79.01247,96.72099
78,59,2206.95,37.40593,65.38071,79.07727,96.99873
79,59,2206.563,37.39938,65.91071,78.97717,97.26014
80,59,2238.424,37.93939,66.45071,79.41724,97.52505
81,59,2270.284,38.47939,66.9907,79.85072,97.78851
82,59,2302.734,39.02938,67.5407,80.28584,98.0554
83,59,2331.658,39.51963,68.0807,80.62894,98.31606
84,59,2364.108,40.06963,68.63069,81.05449,98.58012
85,58,2385.288,41.12566,69.18069,81.94507,98.84274
86,59,2437.096,41.30672,75.42621,81.71544,102.1636
87,59,2470.136,41.86671,75.9862,82.13942,102.4158
88,59,2501.995,42.4067,76.52618,82.54273,102.6579
89,59,2533.677,42.94367,77.04616,82.61639,102.8899
90,59,2565.537,43.48368,77.58614,83.02102,103.1297
91,59,2596.807,44.01367,78.11613,83.41286,103.364
92,59,2626.897,44.52368,78.62612,83.78514,103.5885
93,59,2597.82,44.03084,79.1861,83.36866,103.8338
94,59,2620.901,44.42206,79.71608,83.56727,104.065
95,59,2650.231,44.91916,80.26604,83.88512,104.3038
96,59,2682.68,45.46916,80.81603,84.28498,104.5415
97,58,2634.737,45.4265,81.36601,84.10875,104.7781
98,59,2677.202,45.3763,81.91597,83.97275,105.0137
99,59,2709.651,45.9263,82.46593,84.3758,105.2482
